full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
438317 (2006 JX),Y,N,0,19.89,,,,,,,,,,,JPL 27,2460000.5,J2000,0.2719,1.709,1.245,23.89,233.3,315.47,207.68,2.17,0.441,2460345.91,2.24,0.296,2.9,4.05,AMO,Otto Matic,3886,04/05/06,23/12/16,104,0,0.47849
438429 (2006 WN1),Y,N,0,18.88,,,,,3.686,,,,,,JPL 251,2460000.5,J2000,0.4506,2.1,1.154,4.02,239.16,93.64,171.27,3.05,0.3239,2459471.69,3.04,0.161,2.36,3.61,AMO,Otto Matic,5495,17/11/06,03/12/21,1355,0,0.37427
438430 (2006 WL3),Y,N,0,20.1,,,,,8.47,,,,,,JPL 54,2460000.5,J2000,0.241,1.358,1.031,20.39,81.3,67.18,56.13,1.69,0.6228,2459910.37,1.58,0.16,3.45,4.76,AMO,Otto Matic,4223,19/11/06,12/06/18,196,0,0.57322
438452 (2007 AS12),Y,N,0,19.25,,,,,,,,,,,JPL 85,2460000.5,J2000,0.2441,1.51,1.141,21.01,126.28,266.9,302,1.88,0.5312,2460109.68,1.86,0.313,3.65,4.42,AMO,Otto Matic,7225,14/06/02,26/03/22,411,0,0.47127
438661 (2008 EP6),Y,Y,0,19.31,,,,,,,,,,,JPL 45,2460000.5,J2000,0.2932,1.209,0.855,17.72,303.24,130.32,146.95,1.56,0.7413,2459802.27,1.33,0.0475,3.71,5.18,APO,Otto Matic,4353,05/03/08,04/02/20,164,0,0.31768
438897 (2009 WN),Y,N,0,18.85,,0.946,,0.06,,,,,,,JPL 56,2460000.5,J2000,0.2214,1.38,1.075,32.79,249.33,236.19,34.49,1.69,0.6079,2459943.77,1.62,0.174,3.66,4.62,AMO,Otto Matic,7469,21/06/02,02/12/22,210,0,0.42577
438902 (2009 WF104),Y,N,0,17.5,,2.226,,0.047,56.5,,,,,,JPL 161,2460000.5,J2000,0.6564,3.081,1.059,16.97,81.71,94.4,129.95,5.1,0.1823,2459287.51,5.41,0.278,1.23,2.8,AMO,Otto Matic,4241,23/11/09,04/07/21,920,0,0.32232
438908 (2009 XO),Y,Y,0,20.63,,,,,,,,,,,JPL 100,2460000.5,J2000,0.5438,1.858,0.848,0.35,27.89,140.61,54.1,2.87,0.389,2459861.45,2.53,0.00185,2.1,3.8,APO,Otto Matic,3868,09/12/09,12/07/20,840,0,0.30283
438955 (2010 LN14),Y,Y,0,21.01,,,,,3.842,,,,,,JPL 66,2460000.5,J2000,0.4746,1.154,0.606,1.47,343.02,33.19,21.58,1.7,0.7953,2459973.37,1.24,0.0181,3.76,5.34,APO,Otto Matic,4306,06/06/10,21/03/22,276,0,0.41861
438990 (2010 SG13),Y,N,0,18.39,,0.818,,0.126,,,,,,,JPL 37,2460000.5,J2000,0.7484,1.252,0.315,33.8,252.95,225.13,252.17,2.19,0.7032,2460153.83,1.4,0.0648,3.25,4.7,APO,Otto Matic,4343,27/09/10,18/08/22,102,0,0.46696
439313 (2012 VE82),Y,N,0,19.66,,,,,,,,,,,JPL 62,2460000.5,J2000,0.544,2.11,0.962,9.93,110.41,186.47,179.68,3.26,0.3216,2459441.89,3.06,0.0503,1.98,3.52,APO,Otto Matic,3109,12/11/12,18/05/21,210,0,0.45688
